"","Subject","Trial","valve","valve2","Running.Block.","IntensityRating.inv"
"7",9,1,19,2,"Test",49
"8",9,2,16,22,"Test",186
"9",9,3,6,19,"Test",62
"10",9,4,5,18,"Test",57
"11",9,5,14,20,"Test",76
"12",9,6,2,24,"Test",21
"13",9,7,14,22,"Test",67
"14",9,8,7,23,"Test",37
"15",9,9,13,19,"Test",126
"16",9,10,5,25,"Test",128
"17",9,11,4,24,"Test",75
"18",9,12,4,11,"Test",138
"19",9,13,10,16,"Test",197
"20",9,14,5,23,"Test",35
"21",9,15,20,22,"Test",27
"22",9,16,18,22,"Test",5
"23",9,17,6,24,"Test",24
"24",9,18,7,20,"Test",19
"25",9,19,2,22,"Test",0
"26",9,20,11,17,"Test",176
"27",9,21,10,22,"Test",72
"28",9,22,24,23,"Test",31
"29",9,23,22,23,"Test",16
"30",9,24,13,2,"Test",65
"31",9,25,8,24,"Test",56
"32",9,26,6,13,"Test",62
"33",9,27,8,15,"Test",38
"34",9,28,4,17,"Test",183
"35",9,29,3,10,"Test",69
"36",9,30,21,2,"Test",10
"37",9,31,3,16,"Test",225
"38",9,32,25,18,"Test",39
"39",9,33,7,14,"Test",34
"40",9,34,8,21,"Test",28
"41",9,35,25,22,"Test",49
"42",9,36,3,23,"Test",34
"43",9,37,15,2,"Test",30
"44",9,38,11,2,"Test",100
"45",9,39,17,2,"Test",117
"46",9,40,15,21,"Test",32
"47",9,41,21,2,"Test",4
"48",9,42,5,18,"Test",28
"49",9,43,25,22,"Test",85
"50",9,44,25,18,"Test",58
"51",9,45,15,2,"Test",5
"52",9,46,4,17,"Test",97
"53",9,47,7,20,"Test",44
"54",9,48,19,2,"Test",0
"55",9,49,14,22,"Test",42
"56",9,50,10,16,"Test",203
"57",9,51,8,24,"Test",29
"58",9,52,15,21,"Test",31
"59",9,53,18,22,"Test",3
"60",9,54,5,23,"Test",10
"61",9,55,5,25,"Test",85
"62",9,56,4,24,"Test",31
"63",9,57,8,15,"Test",39
"64",9,58,7,14,"Test",38
"65",9,59,6,19,"Test",17
"66",9,60,7,23,"Test",61
"67",9,61,11,17,"Test",121
"68",9,62,11,2,"Test",103
"69",9,63,2,22,"Test",1
"70",9,64,17,2,"Test",100
"71",9,65,8,21,"Test",29
"72",9,66,3,10,"Test",100
"73",9,67,14,20,"Test",12
"74",9,68,16,22,"Test",215
"75",9,69,6,24,"Test",22
"76",9,70,2,24,"Test",17
"77",9,71,10,22,"Test",162
"78",9,72,22,23,"Test",32
"79",9,73,3,16,"Test",197
"80",9,74,3,23,"Test",22
"81",9,75,13,2,"Test",30
"82",9,76,24,23,"Test",29
"83",9,77,20,22,"Test",4
"84",9,78,4,11,"Test",67
"85",9,79,13,19,"Test",38
"86",9,80,6,13,"Test",39
